Exam ID,Groupe,Module,Prof,Salle,Date,Creneau
1,Groupe_4_1,Module_4_1,Prof_1,AMP_1_1,2025-01-10,2
91,Groupe_24_1,Module_24_5,Prof_1,AMP_6_3,2025-01-14,2
181,Groupe_39_3,Module_39_1,Prof_1,AMP_5_1,2025-01-10,1
271,Groupe_67_1,Module_67_3,Prof_1,AMP_1_2,2025-01-12,3
361,Groupe_77_2,Module_77_5,Prof_1,AMP_5_3,2025-01-14,2
451,Groupe_102_2,Module_102_6,Prof_1,AMP_5_3,2025-01-15,4
541,Groupe_122_4,Module_122_6,Prof_1,AMP_3_1,2025-01-15,1
631,Groupe_134_2,Module_134_4,Prof_1,AMP_4_3,2025-01-13,4
721,Groupe_145_4,Module_145_7,Prof_1,AMP_3_2,2025-01-16,4
811,Groupe_165_3,Module_165_1,Prof_1,AMP_7_3,2025-01-10,1
901,Groupe_195_2,Module_195_3,Prof_1,AMP_7_1,2025-01-12,1
992,Groupe_13_1,Module_13_2,Prof_1,AMP_2_3,2025-01-11,2
1081,Groupe_42_4,Module_42_4,Prof_1,S_5_20,2025-01-13,2
1171,Groupe_58_1,Module_58_3,Prof_1,AMP_2_3,2025-01-12,2
1261,Groupe_79_2,Module_79_8,Prof_1,AMP_6_2,2025-01-17,4
1351,Groupe_83_3,Module_83_2,Prof_1,S_5_20,2025-01-11,4
1441,Groupe_110_4,Module_110_4,Prof_1,S_6_1,2025-01-13,4
1530,Groupe_146_1,Module_146_2,Prof_1,S_5_21,2025-01-11,4
1624,Groupe_187_3,Module_187_5,Prof_1,S_5_2,2025-01-14,2
1713,Groupe_199_3,Module_199_6,Prof_1,S_5_6,2025-01-15,2
1801,Groupe_31_3,Module_31_7,Prof_1,S_5_19,2025-01-16,2
1934,Groupe_45_4,Module_45_8,Prof_1,AMP_7_1,2025-01-17,4
1991,Groupe_49_4,Module_49_4,Prof_1,AMP_6_3,2025-01-19,2
2071,Groupe_60_3,Module_60_7,Prof_1,AMP_5_1,2025-01-22,1
2161,Groupe_87_3,Module_87_7,Prof_1,AMP_5_1,2025-01-22,4
2251,Groupe_106_1,Module_106_5,Prof_1,AMP_1_3,2025-01-20,2
2341,Groupe_117_4,Module_117_5,Prof_1,AMP_5_3,2025-01-20,4
2431,Groupe_129_4,Module_129_3,Prof_1,AMP_4_2,2025-01-18,1
2506,Groupe_139_4,Module_139_1,Prof_1,S_5_1,2025-01-16,1
2613,Groupe_169_2,Module_169_2,Prof_1,AMP_4_3,2025-01-18,2
2701,Groupe_180_1,Module_180_6,Prof_1,AMP_3_2,2025-01-22,3
2791,Groupe_185_3,Module_185_5,Prof_1,AMP_4_1,2025-01-21,2
2882,Groupe_194_3,Module_194_1,Prof_1,S_5_6,2025-01-17,2
2972,Groupe_14_2,Module_14_2,Prof_1,S_6_2,2025-01-18,1
3065,Groupe_64_4,Module_64_4,Prof_1,AMP_2_1,2025-01-20,3
3154,Groupe_81_1,Module_81_8,Prof_1,AMP_1_1,2025-01-25,2
3242,Groupe_89_2,Module_89_4,Prof_1,S_5_20,2025-01-21,1
3331,Groupe_105_1,Module_105_2,Prof_1,S_5_20,2025-01-19,4
3421,Groupe_141_4,Module_141_8,Prof_1,AMP_5_1,2025-01-25,2
3511,Groupe_154_3,Module_154_8,Prof_1,AMP_1_2,2025-01-25,3
3600,Groupe_17_1,Module_17_6,Prof_1,S_6_2,2025-01-23,3
3694,Groupe_56_1,Module_56_3,Prof_1,S_5_16,2025-01-21,2
3783,Groupe_65_1,Module_65_6,Prof_1,AMP_4_3,2025-01-24,4
3855,Groupe_91_4,Module_91_1,Prof_1,S_5_6,2025-01-19,4
3962,Groupe_125_3,Module_125_7,Prof_1,AMP_1_1,2025-01-29,4
4051,Groupe_147_1,Module_147_2,Prof_1,AMP_7_1,2025-01-24,3
4141,Groupe_173_2,Module_173_6,Prof_1,AMP_5_2,2025-01-28,2
4230,Groupe_7_2,Module_7_1,Prof_1,S_4_20,2025-01-23,2
4269,Groupe_15_2,Module_15_1,Prof_1,S_6_5,2025-01-23,2
4411,Groupe_46_3,Module_46_3,Prof_1,AMP_4_3,2025-01-26,1
4499,Groupe_107_1,Module_107_1,Prof_1,S_6_20,2025-01-24,3
4592,Groupe_132_4,Module_132_4,Prof_1,AMP_3_1,2025-01-27,3
4681,Groupe_149_4,Module_149_3,Prof_1,AMP_6_1,2025-01-26,1
4772,Groupe_189_1,Module_189_4,Prof_1,S_5_17,2025-01-27,2
