groupe,module,prof,salle,date_exam,creneau,formation_id,formation,departement
Groupe_2_1,Module_2_1,Prof_74,S_4_25,2025-01-18,4,2,Formation_2,Biologie
Groupe_2_1,Module_2_2,Prof_61,S_5_15,2025-01-19,2,2,Formation_2,Biologie
Groupe_2_1,Module_2_3,Prof_60,S_4_22,2025-01-20,2,2,Formation_2,Biologie
Groupe_2_1,Module_2_4,Prof_57,S_5_15,2025-01-21,1,2,Formation_2,Biologie
Groupe_2_1,Module_2_5,Prof_58,S_5_22,2025-01-22,3,2,Formation_2,Biologie
Groupe_2_1,Module_2_6,Prof_59,S_5_25,2025-01-23,2,2,Formation_2,Biologie
Groupe_2_1,Module_2_7,Prof_62,AMP_3_1,2025-01-24,3,2,Formation_2,Biologie
Groupe_2_2,Module_2_1,Prof_75,S_5_10,2025-01-18,1,2,Formation_2,Biologie
Groupe_2_2,Module_2_2,Prof_63,S_5_22,2025-01-19,4,2,Formation_2,Biologie
Groupe_2_2,Module_2_3,Prof_64,S_4_21,2025-01-20,2,2,Formation_2,Biologie
Groupe_2_2,Module_2_4,Prof_65,S_6_20,2025-01-21,4,2,Formation_2,Biologie
Groupe_2_2,Module_2_5,Prof_66,S_6_3,2025-01-22,4,2,Formation_2,Biologie
Groupe_2_2,Module_2_6,Prof_67,AMP_7_2,2025-01-23,1,2,Formation_2,Biologie
Groupe_2_2,Module_2_7,Prof_68,AMP_3_1,2025-01-24,4,2,Formation_2,Biologie
Groupe_2_3,Module_2_1,Prof_81,S_5_23,2025-01-18,2,2,Formation_2,Biologie
Groupe_2_3,Module_2_2,Prof_71,S_5_16,2025-01-19,4,2,Formation_2,Biologie
Groupe_2_3,Module_2_3,Prof_69,S_5_23,2025-01-20,4,2,Formation_2,Biologie
Groupe_2_3,Module_2_4,Prof_70,S_5_25,2025-01-21,4,2,Formation_2,Biologie
Groupe_2_3,Module_2_5,Prof_72,S_5_23,2025-01-22,1,2,Formation_2,Biologie
Groupe_2_3,Module_2_6,Prof_73,S_6_3,2025-01-23,3,2,Formation_2,Biologie
Groupe_2_3,Module_2_7,Prof_76,AMP_3_1,2025-01-24,4,2,Formation_2,Biologie
Groupe_2_4,Module_2_1,Prof_86,S_4_21,2025-01-18,3,2,Formation_2,Biologie
Groupe_2_4,Module_2_2,Prof_79,S_5_15,2025-01-19,4,2,Formation_2,Biologie
Groupe_2_4,Module_2_3,Prof_78,S_5_25,2025-01-20,3,2,Formation_2,Biologie
Groupe_2_4,Module_2_4,Prof_82,S_5_24,2025-01-21,4,2,Formation_2,Biologie
Groupe_2_4,Module_2_5,Prof_80,S_5_2,2025-01-22,2,2,Formation_2,Biologie
Groupe_2_4,Module_2_6,Prof_77,S_5_24,2025-01-23,2,2,Formation_2,Biologie
